标题,原价,颜色,销量,卖点,店铺
aigo爱国者D9/E9美拍版 翻转屏自拍学生数码照相机生日礼物女生入门微单校园高清旅游平替ccd 白色32GB,399.00,米白色,4万+,"['4K录像', '美颜滤镜', '学生优质', '入门微单', '自拍利器', '高清拍摄', '翻转屏自拍', '旅游常备', '校园记录', '翻转屏幕']",aigo数码相机京东自营旗舰店
大疆 DJI Osmo Pocket 3 一英寸口袋云台相机 OP灵眸手持数码相机 旅游摄影摄像 直播vlog拍摄 标准版 官方标配,2799.00,标准版,20万+,"['三轴增稳', '2 英寸旋转屏', '开拍快', '视频流畅', '拍摄自在', '大像素享', '灵动创作', '高清画质', '抓拍珍贵', '稳拍必成']",DJI大疆官方旗舰店
松典（SONGDIAN）数码学生相机便携取代CCD卡片机vlog高清入门级照相机dc302 象牙白 【AF对焦】旗舰版+32G内存,259.00,象牙白【6400W像素+4K摄录】,3万+,"['4K高清录像', 'AF自动对焦', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
INSTAX富士instax立拍立得 一次成像相机 miniSE（mini7+升级款）白色,499.00,白色,10万+,"['时尚潮流', '4种模式', '升级款式', '时尚外观', '小巧便携', '随手记录', '简单易用', '经典设计', '创意自拍', '分享乐趣']",富士instax京东自营旗舰店
aigo爱国者D1 学生数码照相机生日礼物女生入门高清旅游校园小型卡片机复古CCD平替 白色32G,199.00,白色【6400W像素+4K录像】,,,aigo数码相机京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄6400W高清微单摄像vlog随身便携学生入门级照相机dc218 白色 64G 内存,429.00,白色【6400W+前后双摄】,4万+,"['前后双摄镜头', '4K高清录制', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
KGPGccd数码相机翻转屏照相机拍立得学生党自拍旅游专用生日礼物送女朋友入门级小相机 白色 【自拍翻转屏】复古CCD,319.00,白色 【自拍翻转屏】复古CCD,4万+,"['全网热销5万+', '礼品包装', '自拍翻转屏']",KGPG旗舰店
aigo 爱国者D9/E9美拍版 翻转屏自拍学生数码照相机女生入门校园高清旅游平替ccd 白色128GB带广角镜,599.00,米白色【配广角+微距镜头】,4万+,"['4K录像', '学生优质', '广角镜头', '高清拍摄', '美颜滤镜', '翻转屏自拍', '女生自拍', '翻转屏幕']",aigo数码相机京东自营旗舰店
KGPGccd数码相机翻转屏照相机拍立得学生党自拍旅游专用生日礼物女生送女友朋友闺蜜入门级相机 白,339.00,白色 【自拍翻转屏】,7000+,"['可传手机电脑', '赠32G内存卡', '自拍翻转屏']",KGPG京东自营旗舰店
优禾悦高清双摄照相机ccd可拍照vlog录像校园入门随身携带卡片机高中生 Y3-白色【5000W像素+可拍vlog】 裸机-需自备内存卡 无卡不能拍摄,69.00,Y3-白色【5000W像素+可拍vlog】,1000+,"['随拍随用', '便携随身', '高清拍摄', '校园记录', 'vlog录制', '5000万像素']",无忧数码小店
